Easting,Northing,n
541725.0009,277724.9999,3
541875.0009,292574.9999,3
541975.0009,296524.9999,3
541975.0009,296624.9999,3
542075.0009,263424.9999,3
542125.0009,256874.9999,3
543275.0009,259174.9999,3
543475.0009,257624.9999,3
543475.0009,302874.9999,3
543525.0009,287874.9999,3
543825.0009,259774.9999,3
543875.0009,253374.9999,3
544075.0009,263174.9999,3
544325.0009,259474.9999,3
544325.0009,259774.9999,3
544325.0009,260624.9999,3
544325.0009,261524.9999,3
544325.0009,261774.9999,3
544325.0009,262124.9999,3
544375.0009,258424.9999,3
544375.0009,260074.9999,3
544425.0009,261724.9999,3
544525.0009,257924.9999,3
544525.0009,259124.9999,3
544575.0009,259074.9999,3
544575.0009,291174.9999,3
544775.0009,255674.9999,3
544775.0009,258924.9999,3
544775.0009,261374.9999,3
544825.0009,258424.9999,3
544975.0009,256024.9999,3
544975.0009,258624.9999,3
544975.0009,258824.9999,3
545025.0009,316624.9999,3
545125.0009,258674.9999,3
545175.0009,257274.9999,3
545175.0009,257324.9999,3
545175.0009,257624.9999,3
545175.0009,257674.9999,3
545175.0009,258274.9999,3
545175.0009,259424.9999,3
545175.0009,310574.9999,3
545275.0009,258174.9999,3
545275.0009,258424.9999,3
545325.0009,258024.9999,3
545325.0009,259574.9999,3
545425.0009,258574.9999,3
545425.0009,258724.9999,3
545475.0009,259524.9999,3
545525.0009,257724.9999,3
545525.0009,308724.9999,3
545525.0009,310124.9999,3
545575.0009,257724.9999,3
545575.0009,258774.9999,3
545625.0009,257574.9999,3
545725.0009,258124.9999,3
545725.0009,304824.9999,3
545775.0009,258174.9999,3
545775.0009,259974.9999,3
545775.0009,309724.9999,3
545825.0009,260124.9999,3
545825.0009,304824.9999,3
545875.0009,259724.9999,3
545875.0009,309724.9999,3
545925.0009,257024.9999,3
545925.0009,257324.9999,3
546025.0009,255624.9999,3
546025.0009,257274.9999,3
546025.0009,257374.9999,3
546025.0009,257974.9999,3
546025.0009,258824.9999,3
546025.0009,309774.9999,3
546075.0009,257974.9999,3
546075.0009,259124.9999,3
546075.0009,259374.9999,3
546075.0009,308474.9999,3
546075.0009,309924.9999,3
546125.0009,256674.9999,3
546125.0009,309774.9999,3
546175.0009,256524.9999,3
546175.0009,256574.9999,3
546175.0009,258874.9999,3
546175.0009,309924.9999,3
546175.0009,309974.9999,3
546225.0009,256674.9999,3
546225.0009,309674.9999,3
546225.0009,309974.9999,3
546325.0009,260624.9999,3
546325.0009,309974.9999,3
546375.0009,310024.9999,3
546425.0009,309574.9999,3
546475.0009,246574.9999,3
546475.0009,255824.9999,3
546475.0009,257724.9999,3
546475.0009,262124.9999,3
546475.0009,309374.9999,3
546525.0009,258974.9999,3
546575.0009,255624.9999,3
546575.0009,309174.9999,3
546675.0009,310324.9999,3
546725.0009,257624.9999,3
546725.0009,261124.9999,3
546725.0009,310424.9999,3
546775.0009,261174.9999,3
546825.0009,255324.9999,3
546825.0009,260424.9999,3
546875.0009,260624.9999,3
546875.0009,309674.9999,3
546925.0009,256524.9999,3
546925.0009,258674.9999,3
546975.0009,256524.9999,3
546975.0009,259374.9999,3
547025.0009,251674.9999,3
547025.0009,306474.9999,3
