Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
3314,20140112,2014,1,12,Sunday,1000,Slight,A,141,Uncoded junction,Day,Fine (no wind),Dry,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A141 JUNCTION B1093 MANEA RD WIMBLINGTON,2,Car,Going ahead,N,S,Mid jnctn - on rbout or main road,Did not skid,Car,Turning left,N,E,Leaving main road,Did not skid,,,,,,,541668.1982,292045.5521
3315,20150110,2015,1,10,Saturday,1500,Slight,A,1260,Roundabout,Day,Fine & windy,Dry,70,N,N,Y,N,N,N,N,N,N,N,0,,0,,,,,A1139 FRANK PERKINS PARKWAY JUNCTION A1260 NENE PARKWAY,2,Car,Going ahead,E,W,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,E,W,Approaching jnctn or waiting/parked,Did not skid,,,,,,,517817.2399,295591.0472
3316,20160109,2016,1,9,Saturday,2107,Slight,B,1049,Cross roads,Dark,Rain (no wind),Wet/damp,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,HISTON RD JUNCTION GILBERT RD CAMBRIDGE,2,Taxi/private hire ca,Turning right,S,E,Leaving main road,Did not skid,Motorcycle >50 <= 12,Going ahead,N,S,Mid jnctn - on rbout or main road,Did not skid,,,,,,,544370.2531,260287.2228
3412,20120103,2012,1,3,Tuesday,1727,Slight,A,47,Slip road,Dark,Fine (no wind),Dry,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A47 RHUBARB BRIDGE JNCT 18 PETERBOROUGH,3,Car,Going ahead,W,E,Entering from slip road,Did not skid,Car,Slow or stopping,W,E,Entering from slip road,Did not skid,Car,Slow or stopping,W,E,Entering from slip road,Did not skid,518035.6021,301595.5484
3414,20140112,2014,1,12,Sunday,1520,Slight,A,1119,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1119 ST MARKS OS 121A JUNCTION BURGHLEY RD PETERBOROUGH,1,Car,Turning left,E,S,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,,,,,,,519343.2523,299462.649
3415,20150115,2015,1,15,Thursday,1155,Serious,C,58,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,C58 DOGSTHORPE RD JUNCTION LAWN AVE PETERBOROUGH,2,Car,Turning right,N,W,Leaving main road,Did not skid,Motorcycle >500cc,Going ahead,S,N,Mid jnctn - on rbout or main road,Did not skid,,,,,,,519230.8639,300993.9406
3416,20160109,2016,1,9,Saturday,1011,Slight,A,605,Not at junction,Day,Fine (no wind),Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A605 1000M EAST OF ELTON RD PETERBOROUGH,1,Car,Going ahead,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,510144.3778,293115.4058
3512,20120103,2012,1,3,Tuesday,1703,Slight,A,603,Private drive/entry,Day,Fine (no wind),Dry,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,EAST RD OUTSIDE WELLINGTON HOUSE CAMBRIDGE,2,Motorcycle >50 <= 12,Ovrtking statny veh on offsde,SW,NE,Mid jnctn - on rbout or main road,Did not skid,Car,Moving off,NW,SE,Entering main road,Did not skid,,,,,,,545797.1104,258279.0976
3514,20140113,2014,1,13,Monday,1720,Slight,A,1101,'T'/staggered junctn,Dark,Rain (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A1101 JUNCTION B1411 TOLL CORNER HOUSE,1,Car,Going ahead left hand bend,NE,SE,Mid jnctn - on rbout or main road,Skidded,,,,,,,,,,,,,552541.9909,291482.2233
3515,20150113,2015,1,13,Tuesday,918,Serious,A,14,Not at junction,Day,Fine (no wind),Dry,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A14 EASTBOUND 300M PRIOR TO BAR HILL TURN,3,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Skidded,Car,Waiting to go ahd but held up,NW,SE,"Not at,or within 20m of, junction",Did not skid,Car,Waiting to go ahd but held up,NW,SE,"Not at,or within 20m of, junction",Did not skid,537976.7524,264226.9351
3516,20160109,2016,1,9,Saturday,2137,Slight,M,11,Uncoded junction,Dark,Rain (no wind),Wet/damp,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,M11 EBC GIRTON CAMBRIDGE,1,Car,Going ahead right hand bend,NW,SE,Approaching jnctn or waiting/parked,Skidded,,,,,,,,,,,,,540728.5827,262160.4466
3613,20130103,2013,1,3,Thursday,1358,Slight,C,93,Not at junction,Day,Fine (no wind),Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,C93 MOONSHINE GAP BULLOCK RD 110M S OF RD TO CALDECATE,1,Car,Going ahead right hand bend,N,SW,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,512766.4887,287046.513
